               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.018445,            0.011451,          0.00010801,             0.68403,             0.58685,             0.58898,             0.28607,            0.045283,            0.024032,          0.00056901,            0.005578,            0.005578,            0.005578
                 136,            0.018574,            0.011678,          9.6178e-05,             0.70966,             0.57311,             0.57224,             0.27678,            0.046075,            0.024382,          0.00061848,            0.005545,            0.005545,            0.005545
                 137,            0.018619,            0.011474,           0.0001012,             0.65733,             0.59486,             0.56147,             0.27321,             0.04628,            0.024316,          0.00053936,            0.005512,            0.005512,            0.005512
                 138,            0.018845,            0.011839,          0.00010658,             0.69843,             0.57409,             0.57515,             0.28489,            0.045667,            0.024019,          0.00056212,            0.005479,            0.005479,            0.005479
                 139,            0.018182,            0.011554,           9.917e-05,             0.69605,             0.59176,             0.58195,             0.28247,            0.045694,             0.02349,          0.00050346,            0.005446,            0.005446,            0.005446
                 140,            0.017674,            0.011118,          9.8698e-05,             0.69742,             0.57017,             0.56813,             0.27954,            0.046349,             0.02431,          0.00059328,            0.005413,            0.005413,            0.005413
                 141,            0.018139,            0.011198,           9.919e-05,             0.65289,             0.58328,             0.56588,              0.2779,            0.045722,            0.024407,           0.0005849,             0.00538,             0.00538,             0.00538
                 142,            0.018005,            0.011502,          9.6914e-05,               0.689,             0.56722,              0.5485,             0.26874,            0.045886,            0.023587,          0.00052604,            0.005347,            0.005347,            0.005347
                 143,            0.017947,            0.011835,          9.1751e-05,             0.70034,             0.56919,             0.55309,             0.27108,            0.046106,            0.024793,          0.00060604,            0.005314,            0.005314,            0.005314
                 144,            0.017842,            0.011368,          9.4326e-05,             0.68544,              0.5682,             0.56024,             0.27223,            0.045732,            0.025177,          0.00063967,            0.005281,            0.005281,            0.005281
                 145,            0.017505,            0.011147,          0.00010082,             0.71425,             0.55447,             0.56534,             0.27676,            0.046209,            0.024734,          0.00053432,            0.005248,            0.005248,            0.005248
